Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Total Population
87,SWE,Sweden,Stockholm,Europe,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,23.4276,1.0079,0.13,1970 Population1,3815561
101,CHE,Switzerland,Bern,Europe,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,211.7157,1.0056,0.11,1980 Population,4199820
60,SYR,Syria,Damascus,Asia,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,119.4797,1.0376,0.28,1990 Population,4494310
57,TWN,Taiwan,Taipei,Asia,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,660.1662,1.0014,0.3,2000 Population,4179350
95,TJK,Tajikistan,Dushanbe,Asia,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,69.5513,1.0208,0.12,2010 Population,3811088
22,TZA,Tanzania,Dodoma,Africa,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.3034,1.03,0.82,2015 Population,3524324
20,THA,Thailand,Bangkok,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9,2020 Population,3318407
155,TLS,Timor-Leste,Dili,Asia,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,90.1772,1.0154,0.02,2022 Population,3233526
100,TGO,Togo,Lomé,Africa,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,155.8281,1.0236,0.11,1970 Population1,592244
233,TKL,Tokelau,Nukunonu,Oceania,1871,1827,1454,1367,1666,1669,1647,1714,12,155.9167,1.0119,0,1980 Population,938578
197,TON,Tonga,Nuku‘alofa,Oceania,106858,105254,106122,107383,102603,98727,96708,86484,747,143.0495,1.0079,0,1990 Population,1341474
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,298.4491,1.0035,0.02,2000 Population,1726985
79,TUN,Tunisia,Tunis,Africa,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.5218,1.0076,0.15,2010 Population,2091664
18,TUR,Turkey,Ankara,Asia,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,108.9145,1.0067,1.07,2015 Population,2305171
111,TKM,Turkmenistan,Ashgabat,Asia,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,13.1751,1.014,0.08,2020 Population,2546402
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,45703,44276,36538,29726,18744,11709,7598,5665,948,48.2099,1.0131,0,2022 Population,2630296
227,TUV,Tuvalu,Funafuti,Oceania,11312,11069,10877,10550,9638,9182,7731,5814,26,435.0769,1.0096,0,1970 Population1,96369875
31,UGA,Uganda,Kampala,Africa,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.61,1.0304,0.59,1980 Population,122288383
38,UKR,Ukraine,Kiev,Europe,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,65.7858,0.912,0.5,1990 Population,150706446
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,112.9322,1.0081,0.12,2000 Population,175873720
21,GBR,United Kingdom,London,Europe,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,277.9289,1.0034,0.85,2010 Population,196353492
3,USA,United States,"Washington, D.C.",North America,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,36.0935,1.0038,4.24,2015 Population,205188205
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,99465,100442,102803,106142,108185,100685,96640,63446,347,286.6427,0.9937,0,2020 Population,213196304
133,URY,Uruguay,Montevideo,South America,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,18.9069,0.999,0.04,2022 Population,215313498
43,UZB,Uzbekistan,Tashkent,Asia,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,77.3975,1.016,0.43,1970 Population1,9581
181,VUT,Vanuatu,Port-Vila,Oceania,326740,311685,276438,245453,192074,150882,118156,87019,12189,26.8061,1.0238,0,1980 Population,11109
234,VAT,Vatican City,Vatican City,Europe,510,520,564,596,651,700,733,752,1,510,0.998,0,1990 Population,15617
51,VEN,Venezuela,Caracas,South America,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,30.882,1.0036,0.35,2000 Population,20104
16,VNM,Vietnam,Hanoi,Asia,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,296.4472,1.0074,1.23,2010 Population,27556
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11572,11655,12182,13142,14723,13454,11315,9377,142,81.493,0.9953,0,2015 Population,29366
172,ESH,Western Sahara,El Aaiún,Africa,575986,556048,491824,413296,270375,178529,116775,76371,266000,2.1654,1.0184,0.01,2020 Population,30910
46,YEM,Yemen,Sanaa,Asia,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,63.8232,1.0217,0.42,2022 Population,31305
63,ZMB,Zambia,Lusaka,Africa,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,26.5976,1.028,0.25,1970 Population1,133343
74,ZWE,Zimbabwe,Harare,Africa,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,41.7665,1.0204,0.2,1980 Population,187921
,,,,,,,,,,,,,,,,,1990 Population,261928
,,,,,,,,,,,,,,,,,2000 Population,333926
,,,,,,,,,,,,,,,,,2010 Population,396053
,,,,,,,,,,,,,,,,,2015 Population,421437
,,,,,,,,,,,,,,,,,2020 Population,441725
,,,,,,,,,,,,,,,,,2022 Population,449002
,,,,,,,,,,,,,,,,,1970 Population1,8582950
,,,,,,,,,,,,,,,,,1980 Population,8980606
,,,,,,,,,,,,,,,,,1990 Population,8767778
,,,,,,,,,,,,,,,,,2000 Population,8097691
,,,,,,,,,,,,,,,,,2010 Population,7592273
,,,,,,,,,,,,,,,,,2015 Population,7309253
,,,,,,,,,,,,,,,,,2020 Population,6979175
,,,,,,,,,,,,,,,,,2022 Population,6781953
,,,,,,,,,,,,,,,,,1970 Population1,5611666
,,,,,,,,,,,,,,,,,1980 Population,6932967
,,,,,,,,,,,,,,,,,1990 Population,9131361
,,,,,,,,,,,,,,,,,2000 Population,11882888
,,,,,,,,,,,,,,,,,2010 Population,16116845
,,,,,,,,,,,,,,,,,2015 Population,18718019
,,,,,,,,,,,,,,,,,2020 Population,21522626
,,,,,,,,,,,,,,,,,2022 Population,22673762
,,,,,,,,,,,,,,,,,1970 Population1,3497834
,,,,,,,,,,,,,,,,,1980 Population,4312834
,,,,,,,,,,,,,,,,,1990 Population,5483793
,,,,,,,,,,,,,,,,,2000 Population,6307659
,,,,,,,,,,,,,,,,,2010 Population,9126605
,,,,,,,,,,,,,,,,,2015 Population,10727148
,,,,,,,,,,,,,,,,,2020 Population,12220227
,,,,,,,,,,,,,,,,,2022 Population,12889576
,,,,,,,,,,,,,,,,,1970 Population1,6708525
,,,,,,,,,,,,,,,,,1980 Population,6198959
,,,,,,,,,,,,,,,,,1990 Population,8910808
,,,,,,,,,,,,,,,,,2000 Population,12118841
,,,,,,,,,,,,,,,,,2010 Population,14363532
,,,,,,,,,,,,,,,,,2015 Population,15417523
,,,,,,,,,,,,,,,,,2020 Population,16396860
,,,,,,,,,,,,,,,,,2022 Population,16767842
,,,,,,,,,,,,,,,,,1970 Population1,6452787
,,,,,,,,,,,,,,,,,1980 Population,8519891
,,,,,,,,,,,,,,,,,1990 Population,11430520
,,,,,,,,,,,,,,,,,2000 Population,15091594
,,,,,,,,,,,,,,,,,2010 Population,19878036
,,,,,,,,,,,,,,,,,2015 Population,23012646
,,,,,,,,,,,,,,,,,2020 Population,26491087
,,,,,,,,,,,,,,,,,2022 Population,27914536
,,,,,,,,,,,,,,,,,1970 Population1,21434577
,,,,,,,,,,,,,,,,,1980 Population,24511510
,,,,,,,,,,,,,,,,,1990 Population,27657204
,,,,,,,,,,,,,,,,,2000 Population,30683313
,,,,,,,,,,,,,,,,,2010 Population,33963412
,,,,,,,,,,,,,,,,,2015 Population,35732126
,,,,,,,,,,,,,,,,,2020 Population,37888705
,,,,,,,,,,,,,,,,,2022 Population,38454327
,,,,,,,,,,,,,,,,,1970 Population1,287262
,,,,,,,,,,,,,,,,,1980 Population,317234
,,,,,,,,,,,,,,,,,1990 Population,364563
,,,,,,,,,,,,,,,,,2000 Population,458251
,,,,,,,,,,,,,,,,,2010 Population,521212
,,,,,,,,,,,,,,,,,2015 Population,552166
,,,,,,,,,,,,,,,,,2020 Population,582640
,,,,,,,,,,,,,,,,,2022 Population,593149
,,,,,,,,,,,,,,,,,1970 Population1,10533
,,,,,,,,,,,,,,,,,1980 Population,17100
,,,,,,,,,,,,,,,,,1990 Population,26027
,,,,,,,,,,,,,,,,,2000 Population,39658
,,,,,,,,,,,,,,,,,2010 Population,54074
,,,,,,,,,,,,,,,,,2015 Population,60911
,,,,,,,,,,,,,,,,,2020 Population,67311
,,,,,,,,,,,,,,,,,2022 Population,68706
,,,,,,,,,,,,,,,,,1970 Population1,2067356
,,,,,,,,,,,,,,,,,1980 Population,2415276
,,,,,,,,,,,,,,,,,1990 Population,2809221
,,,,,,,,,,,,,,,,,2000 Population,3759170
,,,,,,,,,,,,,,,,,2010 Population,4660067
,,,,,,,,,,,,,,,,,2015 Population,4819333
,,,,,,,,,,,,,,,,,2020 Population,5343020
,,,,,,,,,,,,,,,,,2022 Population,5579144
,,,,,,,,,,,,,,,,,1970 Population1,3667394
,,,,,,,,,,,,,,,,,1980 Population,4408230
,,,,,,,,,,,,,,,,,1990 Population,5827069
,,,,,,,,,,,,,,,,,2000 Population,8259137
,,,,,,,,,,,,,,,,,2010 Population,11894727
,,,,,,,,,,,,,,,,,2015 Population,14140274
,,,,,,,,,,,,,,,,,2020 Population,16644701
,,,,,,,,,,,,,,,,,2022 Population,17723315
,,,,,,,,,,,,,,,,,1970 Population1,9820481
,,,,,,,,,,,,,,,,,1980 Population,11469828
,,,,,,,,,,,,,,,,,1990 Population,13342868
,,,,,,,,,,,,,,,,,2000 Population,15351799
,,,,,,,,,,,,,,,,,2010 Population,17004162
,,,,,,,,,,,,,,,,,2015 Population,17870124
,,,,,,,,,,,,,,,,,2020 Population,19300315
,,,,,,,,,,,,,,,,,2022 Population,19603733
,,,,,,,,,,,,,,,,,1970 Population1,822534450
,,,,,,,,,,,,,,,,,1980 Population,982372466
,,,,,,,,,,,,,,,,,1990 Population,1153704252
,,,,,,,,,,,,,,,,,2000 Population,1264099069
,,,,,,,,,,,,,,,,,2010 Population,1348191368
,,,,,,,,,,,,,,,,,2015 Population,1393715448
,,,,,,,,,,,,,,,,,2020 Population,1424929781
,,,,,,,,,,,,,,,,,2022 Population,1425887337
,,,,,,,,,,,,,,,,,1970 Population1,20905254
,,,,,,,,,,,,,,,,,1980 Population,26176195
,,,,,,,,,,,,,,,,,1990 Population,32601393
,,,,,,,,,,,,,,,,,2000 Population,39215135
,,,,,,,,,,,,,,,,,2010 Population,44816108
,,,,,,,,,,,,,,,,,2015 Population,47119728
,,,,,,,,,,,,,,,,,2020 Population,50930662
,,,,,,,,,,,,,,,,,2022 Population,51874024
,,,,,,,,,,,,,,,,,1970 Population1,242351
,,,,,,,,,,,,,,,,,1980 Population,328328
,,,,,,,,,,,,,,,,,1990 Population,431119
,,,,,,,,,,,,,,,,,2000 Population,536758
,,,,,,,,,,,,,,,,,2010 Population,656024
,,,,,,,,,,,,,,,,,2015 Population,730216
,,,,,,,,,,,,,,,,,2020 Population,806166
,,,,,,,,,,,,,,,,,2022 Population,836774
,,,,,,,,,,,,,,,,,1970 Population1,20470
,,,,,,,,,,,,,,,,,1980 Population,17651
,,,,,,,,,,,,,,,,,1990 Population,17123
,,,,,,,,,,,,,,,,,2000 Population,15897
,,,,,,,,,,,,,,,,,2010 Population,17212
,,,,,,,,,,,,,,,,,2015 Population,17695
,,,,,,,,,,,,,,,,,2020 Population,17029
,,,,,,,,,,,,,,,,,2022 Population,17011
,,,,,,,,,,,,,,,,,1970 Population1,1855697
,,,,,,,,,,,,,,,,,1980 Population,2414303
,,,,,,,,,,,,,,,,,1990 Population,3158253
,,,,,,,,,,,,,,,,,2000 Population,3979193
,,,,,,,,,,,,,,,,,2010 Population,4622252
,,,,,,,,,,,,,,,,,2015 Population,4895242
,,,,,,,,,,,,,,,,,2020 Population,5123105
,,,,,,,,,,,,,,,,,2022 Population,5180829
,,,,,,,,,,,,,,,,,1970 Population1,4492638
,,,,,,,,,,,,,,,,,1980 Population,4680144
,,,,,,,,,,,,,,,,,1990 Population,4873707
,,,,,,,,,,,,,,,,,2000 Population,4548434
,,,,,,,,,,,,,,,,,2010 Population,4368682
,,,,,,,,,,,,,,,,,2015 Population,4254815
,,,,,,,,,,,,,,,,,2020 Population,4096868
,,,,,,,,,,,,,,,,,2022 Population,4030358
,,,,,,,,,,,,,,,,,1970 Population1,8869636
,,,,,,,,,,,,,,,,,1980 Population,9809107
,,,,,,,,,,,,,,,,,1990 Population,10626680
,,,,,,,,,,,,,,,,,2000 Population,11105791
,,,,,,,,,,,,,,,,,2010 Population,11290417
,,,,,,,,,,,,,,,,,2015 Population,11339894
,,,,,,,,,,,,,,,,,2020 Population,11300698
,,,,,,,,,,,,,,,,,2022 Population,11212191
,,,,,,,,,,,,,,,,,1970 Population1,150385
,,,,,,,,,,,,,,,,,1980 Population,156851
,,,,,,,,,,,,,,,,,1990 Population,155446
,,,,,,,,,,,,,,,,,2000 Population,141424
,,,,,,,,,,,,,,,,,2010 Population,159380
,,,,,,,,,,,,,,,,,2015 Population,169572
,,,,,,,,,,,,,,,,,2020 Population,189288
,,,,,,,,,,,,,,,,,2022 Population,191163
,,,,,,,,,,,,,,,,,1970 Population1,640804
,,,,,,,,,,,,,,,,,1980 Population,679327
,,,,,,,,,,,,,,,,,1990 Population,788500
,,,,,,,,,,,,,,,,,2000 Population,948237
,,,,,,,,,,,,,,,,,2010 Population,1129686
,,,,,,,,,,,,,,,,,2015 Population,1187280
,,,,,,,,,,,,,,,,,2020 Population,1237537
,,,,,,,,,,,,,,,,,2022 Population,1251488
,,,,,,,,,,,,,,,,,1970 Population1,9795744
,,,,,,,,,,,,,,,,,1980 Population,10270060
,,,,,,,,,,,,,,,,,1990 Population,10301192
,,,,,,,,,,,,,,,,,2000 Population,10234710
,,,,,,,,,,,,,,,,,2010 Population,10464749
,,,,,,,,,,,,,,,,,2015 Population,10523798
,,,,,,,,,,,,,,,,,2020 Population,10530953
,,,,,,,,,,,,,,,,,2022 Population,10493986
,,,,,,,,,,,,,,,,,1970 Population1,4922963
,,,,,,,,,,,,,,,,,1980 Population,5125392
,,,,,,,,,,,,,,,,,1990 Population,5144623
,,,,,,,,,,,,,,,,,2000 Population,5340655
,,,,,,,,,,,,,,,,,2010 Population,5550849
,,,,,,,,,,,,,,,,,2015 Population,5677796
,,,,,,,,,,,,,,,,,2020 Population,5825641
,,,,,,,,,,,,,,,,,2022 Population,5882261
,,,,,,,,,,,,,,,,,1970 Population1,144379
,,,,,,,,,,,,,,,,,1980 Population,324121
,,,,,,,,,,,,,,,,,1990 Population,577173
,,,,,,,,,,,,,,,,,2000 Population,742033
,,,,,,,,,,,,,,,,,2010 Population,919199
,,,,,,,,,,,,,,,,,2015 Population,1006259
,,,,,,,,,,,,,,,,,2020 Population,1090156
,,,,,,,,,,,,,,,,,2022 Population,1120849
,,,,,,,,,,,,,,,,,1970 Population1,68895
,,,,,,,,,,,,,,,,,1980 Population,72978
,,,,,,,,,,,,,,,,,1990 Population,69481
,,,,,,,,,,,,,,,,,2000 Population,68346
,,,,,,,,,,,,,,,,,2010 Population,68755
,,,,,,,,,,,,,,,,,2015 Population,70007
,,,,,,,,,,,,,,,,,2020 Population,71995
,,,,,,,,,,,,,,,,,2022 Population,72737
,,,,,,,,,,,,,,,,,1970 Population1,4475871
,,,,,,,,,,,,,,,,,1980 Population,5755800
,,,,,,,,,,,,,,,,,1990 Population,7129004
,,,,,,,,,,,,,,,,,2000 Population,8540791
,,,,,,,,,,,,,,,,,2010 Population,9775755
,,,,,,,,,,,,,,,,,2015 Population,10405832
,,,,,,,,,,,,,,,,,2020 Population,10999664
,,,,,,,,,,,,,,,,,2022 Population,11228821
,,,,,,,,,,,,,,,,,1970 Population1,20151733
,,,,,,,,,,,,,,,,,1980 Population,26708686
,,,,,,,,,,,,,,,,,1990 Population,35987541
,,,,,,,,,,,,,,,,,2000 Population,48616317
,,,,,,,,,,,,,,,,,2010 Population,66391257
,,,,,,,,,,,,,,,,,2015 Population,78656904
,,,,,,,,,,,,,,,,,2020 Population,92853164
,,,,,,,,,,,,,,,,,2022 Population,99010212
,,,,,,,,,,,,,,,,,1970 Population1,6172215
,,,,,,,,,,,,,,,,,1980 Population,8135845
,,,,,,,,,,,,,,,,,1990 Population,10449837
,,,,,,,,,,,,,,,,,2000 Population,12626507
,,,,,,,,,,,,,,,,,2010 Population,14989585
,,,,,,,,,,,,,,,,,2015 Population,16195902
,,,,,,,,,,,,,,,,,2020 Population,17588595
,,,,,,,,,,,,,,,,,2022 Population,18001000
,,,,,,,,,,,,,,,,,1970 Population1,34781986
,,,,,,,,,,,,,,,,,1980 Population,43748556
,,,,,,,,,,,,,,,,,1990 Population,57214630
,,,,,,,,,,,,,,,,,2000 Population,71371371
,,,,,,,,,,,,,,,,,2010 Population,87252413
,,,,,,,,,,,,,,,,,2015 Population,97723799
,,,,,,,,,,,,,,,,,2020 Population,107465134
,,,,,,,,,,,,,,,,,2022 Population,110990103
,,,,,,,,,,,,,,,,,1970 Population1,3619090
,,,,,,,,,,,,,,,,,1980 Population,4508992
,,,,,,,,,,,,,,,,,1990 Population,5367179
,,,,,,,,,,,,,,,,,2000 Population,5958482
,,,,,,,,,,,,,,,,,2010 Population,6114034
,,,,,,,,,,,,,,,,,2015 Population,6231066
,,,,,,,,,,,,,,,,,2020 Population,6292731
,,,,,,,,,,,,,,,,,2022 Population,6336392
,,,,,,,,,,,,,,,,,1970 Population1,316955
,,,,,,,,,,,,,,,,,1980 Population,282509
,,,,,,,,,,,,,,,,,1990 Population,465549
,,,,,,,,,,,,,,,,,2000 Population,684977
,,,,,,,,,,,,,,,,,2010 Population,1094524
,,,,,,,,,,,,,,,,,2015 Population,1346973
,,,,,,,,,,,,,,,,,2020 Population,1596049
,,,,,,,,,,,,,,,,,2022 Population,1674908
,,,,,,,,,,,,,,,,,1970 Population1,1272748
,,,,,,,,,,,,,,,,,1980 Population,1657982
,,,,,,,,,,,,,,,,,1990 Population,2149960
,,,,,,,,,,,,,,,,,2000 Population,2392880
,,,,,,,,,,,,,,,,,2010 Population,3147727
,,,,,,,,,,,,,,,,,2015 Population,3340006
,,,,,,,,,,,,,,,,,2020 Population,3555868
,,,,,,,,,,,,,,,,,2022 Population,3684032
,,,,,,,,,,,,,,,,,1970 Population1,1361999
,,,,,,,,,,,,,,,,,1980 Population,1476983
,,,,,,,,,,,,,,,,,1990 Population,1570674
,,,,,,,,,,,,,,,,,2000 Population,1396877
,,,,,,,,,,,,,,,,,2010 Population,1331535
,,,,,,,,,,,,,,,,,2015 Population,1314657
,,,,,,,,,,,,,,,,,2020 Population,1329444
,,,,,,,,,,,,,,,,,2022 Population,1326062
,,,,,,,,,,,,,,,,,1970 Population1,442865
,,,,,,,,,,,,,,,,,1980 Population,598564
,,,,,,,,,,,,,,,,,1990 Population,854011
,,,,,,,,,,,,,,,,,2000 Population,1030496
,,,,,,,,,,,,,,,,,2010 Population,1099920
,,,,,,,,,,,,,,,,,2015 Population,1133936
,,,,,,,,,,,,,,,,,2020 Population,1180655
,,,,,,,,,,,,,,,,,2022 Population,1201670
,,,,,,,,,,,,,,,,,1970 Population1,28308246
,,,,,,,,,,,,,,,,,1980 Population,34945469
,,,,,,,,,,,,,,,,,1990 Population,47878073
,,,,,,,,,,,,,,,,,2000 Population,67031867
,,,,,,,,,,,,,,,,,2010 Population,89237791
,,,,,,,,,,,,,,,,,2015 Population,102471895
,,,,,,,,,,,,,,,,,2020 Population,117190911
,,,,,,,,,,,,,,,,,2022 Population,123379924
,,,,,,,,,,,,,,,,,1970 Population1,2274
,,,,,,,,,,,,,,,,,1980 Population,2240
,,,,,,,,,,,,,,,,,1990 Population,2332
,,,,,,,,,,,,,,,,,2000 Population,3080
,,,,,,,,,,,,,,,,,2010 Population,3187
,,,,,,,,,,,,,,,,,2015 Population,3408
,,,,,,,,,,,,,,,,,2020 Population,3747
,,,,,,,,,,,,,,,,,2022 Population,3780
,,,,,,,,,,,,,,,,,1970 Population1,38416
,,,,,,,,,,,,,,,,,1980 Population,43054
,,,,,,,,,,,,,,,,,1990 Population,47479
,,,,,,,,,,,,,,,,,2000 Population,45660
,,,,,,,,,,,,,,,,,2010 Population,48410
,,,,,,,,,,,,,,,,,2015 Population,48816
,,,,,,,,,,,,,,,,,2020 Population,52415
,,,,,,,,,,,,,,,,,2022 Population,53090
,,,,,,,,,,,,,,,,,1970 Population1,527634
,,,,,,,,,,,,,,,,,1980 Population,644582
,,,,,,,,,,,,,,,,,1990 Population,780430
,,,,,,,,,,,,,,,,,2000 Population,832509
,,,,,,,,,,,,,,,,,2010 Population,905169
,,,,,,,,,,,,,,,,,2015 Population,917200
,,,,,,,,,,,,,,,,,2020 Population,920422
,,,,,,,,,,,,,,,,,2022 Population,929766
,,,,,,,,,,,,,,,,,1970 Population1,4606621
,,,,,,,,,,,,,,,,,1980 Population,4779418
,,,,,,,,,,,,,,,,,1990 Population,4986545
,,,,,,,,,,,,,,,,,2000 Population,5176209
,,,,,,,,,,,,,,,,,2010 Population,5363271
,,,,,,,,,,,,,,,,,2015 Population,5479461
,,,,,,,,,,,,,,,,,2020 Population,5529468
,,,,,,,,,,,,,,,,,2022 Population,5540745
,,,,,,,,,,,,,,,,,1970 Population1,50523586
,,,,,,,,,,,,,,,,,1980 Population,53713830
,,,,,,,,,,,,,,,,,1990 Population,56412897
,,,,,,,,,,,,,,,,,2000 Population,58665453
,,,,,,,,,,,,,,,,,2010 Population,62444567
,,,,,,,,,,,,,,,,,2015 Population,63809769
,,,,,,,,,,,,,,,,,2020 Population,64480053
,,,,,,,,,,,,,,,,,2022 Population,64626628
,,,,,,,,,,,,,,,,,1970 Population1,46484
,,,,,,,,,,,,,,,,,1980 Population,66825
,,,,,,,,,,,,,,,,,1990 Population,113931
,,,,,,,,,,,,,,,,,2000 Population,164351
,,,,,,,,,,,,,,,,,2010 Population,228453
,,,,,,,,,,,,,,,,,2015 Population,257026
,,,,,,,,,,,,,,,,,2020 Population,290969
,,,,,,,,,,,,,,,,,2022 Population,304557
,,,,,,,,,,,,,,,,,1970 Population1,117891
,,,,,,,,,,,,,,,,,1980 Population,163591
,,,,,,,,,,,,,,,,,1990 Population,211089
,,,,,,,,,,,,,,,,,2000 Population,250927
,,,,,,,,,,,,,,,,,2010 Population,283788
,,,,,,,,,,,,,,,,,2015 Population,291787
,,,,,,,,,,,,,,,,,2020 Population,301920
,,,,,,,,,,,,,,,,,2022 Population,306279
,,,,,,,,,,,,,,,,,1970 Population1,597192
,,,,,,,,,,,,,,,,,1980 Population,749078
,,,,,,,,,,,,,,,,,1990 Population,983028
,,,,,,,,,,,,,,,,,2000 Population,1272935
,,,,,,,,,,,,,,,,,2010 Population,1711105
,,,,,,,,,,,,,,,,,2015 Population,2028517
,,,,,,,,,,,,,,,,,2020 Population,2292573
,,,,,,,,,,,,,,,,,2022 Population,2388992
,,,,,,,,,,,,,,,,,1970 Population1,528731
,,,,,,,,,,,,,,,,,1980 Population,718586
,,,,,,,,,,,,,,,,,1990 Population,1040616
,,,,,,,,,,,,,,,,,2000 Population,1437539
,,,,,,,,,,,,,,,,,2010 Population,1937275
,,,,,,,,,,,,,,,,,2015 Population,2253133
,,,,,,,,,,,,,,,,,2020 Population,2573995
,,,,,,,,,,,,,,,,,2022 Population,2705992
,,,,,,,,,,,,,,,,,1970 Population1,4800426
,,,,,,,,,,,,,,,,,1980 Population,5145843
,,,,,,,,,,,,,,,,,1990 Population,5391636
,,,,,,,,,,,,,,,,,2000 Population,4265172
,,,,,,,,,,,,,,,,,2010 Population,3836831
,,,,,,,,,,,,,,,,,2015 Population,3771132
,,,,,,,,,,,,,,,,,2020 Population,3765912
,,,,,,,,,,,,,,,,,2022 Population,3744385
,,,,,,,,,,,,,,,,,1970 Population1,78294583
,,,,,,,,,,,,,,,,,1980 Population,77786703
,,,,,,,,,,,,,,,,,1990 Population,79370196
,,,,,,,,,,,,,,,,,2000 Population,81551677
,,,,,,,,,,,,,,,,,2010 Population,81325090
,,,,,,,,,,,,,,,,,2015 Population,82073226
,,,,,,,,,,,,,,,,,2020 Population,83328988
,,,,,,,,,,,,,,,,,2022 Population,83369843
,,,,,,,,,,,,,,,,,1970 Population1,8861895
,,,,,,,,,,,,,,,,,1980 Population,11865246
,,,,,,,,,,,,,,,,,1990 Population,15446982
,,,,,,,,,,,,,,,,,2000 Population,19665502
,,,,,,,,,,,,,,,,,2010 Population,25574719
,,,,,,,,,,,,,,,,,2015 Population,28870939
,,,,,,,,,,,,,,,,,2020 Population,32180401
,,,,,,,,,,,,,,,,,2022 Population,33475870
,,,,,,,,,,,,,,,,,1970 Population1,26685
,,,,,,,,,,,,,,,,,1980 Population,28734
,,,,,,,,,,,,,,,,,1990 Population,27317
,,,,,,,,,,,,,,,,,2000 Population,27741
,,,,,,,,,,,,,,,,,2010 Population,31262
,,,,,,,,,,,,,,,,,2015 Population,32520
,,,,,,,,,,,,,,,,,2020 Population,32709
,,,,,,,,,,,,,,,,,2022 Population,32649
,,,,,,,,,,,,,,,,,1970 Population1,8544873
,,,,,,,,,,,,,,,,,1980 Population,9307148
,,,,,,,,,,,,,,,,,1990 Population,10302255
,,,,,,,,,,,,,,,,,2000 Population,11038109
,,,,,,,,,,,,,,,,,2010 Population,11033783
,,,,,,,,,,,,,,,,,2015 Population,10806641
,,,,,,,,,,,,,,,,,2020 Population,10512232
,,,,,,,,,,,,,,,,,2022 Population,10384971
,,,,,,,,,,,,,,,,,1970 Population1,45434
,,,,,,,,,,,,,,,,,1980 Population,50106
,,,,,,,,,,,,,,,,,1990 Population,55599
,,,,,,,,,,,,,,,,,2000 Population,56184
,,,,,,,,,,,,,,,,,2010 Population,56351
,,,,,,,,,,,,,,,,,2015 Population,55895
,,,,,,,,,,,,,,,,,2020 Population,56026
,,,,,,,,,,,,,,,,,2022 Population,56466
,,,,,,,,,,,,,,,,,1970 Population1,98794
,,,,,,,,,,,,,,,,,1980 Population,94838
,,,,,,,,,,,,,,,,,1990 Population,99047
,,,,,,,,,,,,,,,,,2000 Population,107432
,,,,,,,,,,,,,,,,,2010 Population,114039
,,,,,,,,,,,,,,,,,2015 Population,118980
,,,,,,,,,,,,,,,,,2020 Population,123663
,,,,,,,,,,,,,,,,,2022 Population,125438
,,,,,,,,,,,,,,,,,1970 Population1,318310
,,,,,,,,,,,,,,,,,1980 Population,334234
,,,,,,,,,,,,,,,,,1990 Population,391951
,,,,,,,,,,,,,,,,,2000 Population,424067
,,,,,,,,,,,,,,,,,2010 Population,403072
,,,,,,,,,,,,,,,,,2015 Population,399089
,,,,,,,,,,,,,,,,,2020 Population,395642
,,,,,,,,,,,,,,,,,2022 Population,395752
,,,,,,,,,,,,,,,,,1970 Population1,88300
,,,,,,,,,,,,,,,,,1980 Population,110286
,,,,,,,,,,,,,,,,,1990 Population,138263
,,,,,,,,,,,,,,,,,2000 Population,160188
,,,,,,,,,,,,,,,,,2010 Population,164905
